id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38768,Rental unit in Vienna · ★4.75 · 1 bedroom · 3 beds · 1 bath,166283,Hannes,,Leopoldstadt,48.21924,16.37831,Entire home/apt,81,6,372,2023-08-11,2.45,3,111,22,
40625,Rental unit in Vienna · ★4.85 · 2 bedrooms · 4 beds · 1 bath,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,183,1,197,2023-08-13,1.24,15,351,16,
51287,Rental unit in Vienna · ★4.66 · Studio · 2 beds · 1 bath,166283,Hannes,,Leopoldstadt,48.21778,16.37847,Entire home/apt,74,7,369,2023-08-31,2.40,3,24,23,
70637,Rental unit in Vienna · ★4.77 · 1 bedroom · 2 beds · 2 shared baths,358842,Elxe,,Leopoldstadt,48.2176,16.38018,Private room,50,2,119,2023-01-18,0.78,3,17,2,
75500,Rental unit in Vienna · ★4.45 · 2 bedrooms · 2 beds · 1 bath,400857,Sabine,,Brigittenau,48.23493,16.36752,Entire home/apt,75,4,14,2019-12-01,0.09,1,291,0,
90247,Rental unit in Vienna · ★4.85 · 1 bedroom · 2 beds · 1 bath,489611,Diana,,Neubau,48.20599,16.3489,Entire home/apt,131,1,728,2023-08-11,4.83,2,250,58,
98210,Rental unit in Vienna · ★4.55 · 1 bedroom · 1 bed · Shared half-bath,518644,Michael,,Margareten,48.19409,16.35857,Private room,50,1,138,2023-08-12,0.92,35,158,24,
109679,Rental unit in Vienna · ★4.87 · Studio · 4 beds · 1 bath,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,118,1,134,2023-07-15,0.96,15,240,9,
111059,Rental unit in Vienna · ★4.91 · 1 bedroom · 1 bed · 1 bath,569644,Kateryna,,Hernals,48.22042,16.33377,Entire home/apt,71,5,167,2023-04-01,1.12,2,0,11,
114505,Rental unit in Vienna · ★4.88 · Studio · 4 beds · 1 bath,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,118,1,125,2022-12-30,0.84,15,307,5,
121026,Rental unit in Vienna · ★4.96 · 1 bedroom · 2 beds · 1 bath,608240,Andrei,,Leopoldstadt,48.2158,16.39034,Entire home/apt,99,3,384,2023-09-05,2.57,2,258,51,
131628,Rental unit in Vienna · 2 bedrooms · 1 bed · 1 bath,647465,Sylvia,,Ottakring,48.21543,16.30939,Entire home/apt,61,7,0,,,2,0,0,
311904,Rental unit in Vienna · ★4.49 · 1 bedroom · 3 beds · 1 bath,1100216,Belinda,,Margareten,48.18461,16.35976,Entire home/apt,46,5,165,2023-08-31,1.18,2,241,23,
